日期,产线,班次,工序,用电量(kWh),产量(千只),基准单耗(kWh/千只),资料说明
2026-09-04,1号产线,白班,老化,2739.51,203.28,12,合成示例，仅用于前端演示
2026-09-04,2号产线,夜班,其他,999.68,130.68,7.5,合成示例，仅用于前端演示
2026-09-04,2号产线,夜班,含浸,1193.03,130.68,8.8,合成示例，仅用于前端演示
2026-09-04,2号产线,夜班,老化,2695.05,130.68,12,合成示例，仅用于前端演示
2026-09-04,2号产线,白班,其他,1222.42,166.32,7.5,合成示例，仅用于前端演示
2026-09-04,2号产线,白班,含浸,1458.86,166.32,8.8,合成示例，仅用于前端演示
2026-09-04,2号产线,白班,老化,2197.03,166.32,12,合成示例，仅用于前端演示
2026-09-05,1号产线,夜班,其他,1127.66,148.104,7.5,合成示例，仅用于前端演示
2026-09-05,1号产线,夜班,含浸,1345.78,148.104,8.8,合成示例，仅用于前端演示
2026-09-05,1号产线,夜班,老化,2026.73,148.104,12,合成示例，仅用于前端演示
2026-09-05,1号产线,白班,其他,1378.92,188.496,7.5,合成示例，仅用于前端演示
2026-09-05,1号产线,白班,含浸,1645.64,188.496,8.8,合成示例，仅用于前端演示
2026-09-05,1号产线,白班,老化,2478.31,188.496,12,合成示例，仅用于前端演示
2026-09-05,2号产线,夜班,其他,1356.54,121.176,7.5,合成示例，仅用于前端演示
2026-09-05,2号产线,夜班,含浸,1079.28,121.176,8.8,合成示例，仅用于前端演示
2026-09-05,2号产线,夜班,老化,1625.39,121.176,12,合成示例，仅用于前端演示
2026-09-05,2号产线,白班,其他,1105.87,154.224,7.5,合成示例，仅用于前端演示
2026-09-05,2号产线,白班,含浸,1319.77,154.224,8.8,合成示例，仅用于前端演示
2026-09-05,2号产线,白班,老化,1987.56,154.224,12,合成示例，仅用于前端演示
2026-09-06,1号产线,夜班,其他,1023.63,136.488,7.5,合成示例，仅用于前端演示
2026-09-06,1号产线,夜班,含浸,1221.62,136.488,8.8,合成示例，仅用于前端演示
2026-09-06,1号产线,夜班,老化,1839.75,136.488,12,合成示例，仅用于前端演示
2026-09-06,1号产线,白班,其他,1251.71,173.712,7.5,合成示例，仅用于前端演示
2026-09-06,1号产线,白班,含浸,2240.73,173.712,8.8,合成示例，仅用于前端演示
2026-09-06,1号产线,白班,老化,2249.68,173.712,12,合成示例，仅用于前端演示
2026-09-06,2号产线,夜班,其他,820.93,111.672,7.5,合成示例，仅用于前端演示
2026-09-06,2号产线,夜班,含浸,979.72,111.672,8.8,合成示例，仅用于前端演示
2026-09-06,2号产线,夜班,老化,1475.44,111.672,12,合成示例，仅用于前端演示
2026-09-06,2号产线,白班,其他,1003.85,142.128,7.5,合成示例，仅用于前端演示
2026-09-06,2号产线,白班,含浸,1198.01,142.128,8.8,合成示例，仅用于前端演示
2026-09-06,2号产线,白班,老化,1804.2,142.128,12,合成示例，仅用于前端演示
2026-09-07,1号产线,夜班,其他,1144.58,148.104,7.5,合成示例，仅用于前端演示
2026-09-07,1号产线,夜班,含浸,1365.96,148.104,8.8,合成示例，仅用于前端演示
2026-09-07,1号产线,夜班,老化,2057.13,148.104,12,合成示例，仅用于前端演示
2026-09-07,1号产线,白班,其他,1399.61,188.496,7.5,合成示例，仅用于前端演示
2026-09-07,1号产线,白班,含浸,1670.32,188.496,8.8,合成示例，仅用于前端演示
2026-09-07,1号产线,白班,老化,2515.49,188.496,12,合成示例，仅用于前端演示
2026-09-07,2号产线,夜班,其他,917.92,121.176,7.5,合成示例，仅用于前端演示
2026-09-07,2号产线,夜班,含浸,1095.49,121.176,8.8,合成示例，仅用于前端演示
2026-09-07,2号产线,夜班,老化,1649.77,121.176,12,合成示例，仅用于前端演示
2026-09-07,2号产线,白班,其他,1122.46,154.224,7.5,合成示例，仅用于前端演示
2026-09-07,2号产线,白班,含浸,1339.56,154.224,8.8,合成示例，仅用于前端演示
2026-09-07,2号产线,白班,老化,2017.37,154.224,12,合成示例，仅用于前端演示
