日期,班次,工序,产线设备,工单号,卡号,料号,计划数,产量,检验数,合格数,不良数
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,22,UK561M200N300AP4APR,1231,1231,1231,1231,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,23,UK561M200N300AP4APR,1194,1194,1194,1194,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,24,UK561M200N300AP4APR,1194,1194,1194,1194,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,25,UK561M200N300AP4APR,1218,1218,1218,1218,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,26,UK561M200N300AP4APR,1212,1212,1212,1212,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,27,UK561M200N300AP4APR,1199,1199,1199,1199,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0032,SF313-2608000300,28,UK561M200N300AP4APR,1176,1176,1176,1176,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,29,UK561M200N300AP4APR,1201,1201,1201,1201,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,30,UK561M200N300AP4APR,1187,1187,1187,1187,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,31,UK561M200N300AP4APR,1207,1207,1207,1207,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,32,UK561M200N300AP4APR,1193,1193,1193,1193,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,33,UK561M200N300AP4APR,1199,1199,1199,1199,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,34,UK561M200N300AP4APR,1184,1184,1184,1184,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,35,UK561M200N300AP4APR,1219,1219,1219,1219,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000300,36,UK561M200N300AP4APR,1198,1198,1198,1198,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,37,UK561M200N300AP4APR,1136,1136,1136,1136,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,38,UK561M200N300AP4APR,1160,1160,1160,1160,0
2026-08-31T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000300,39,UK561M200N300AP4APR,200,200,200,200,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000300,40,UK561M200N300AP4APR,1175,1175,1175,1175,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,41,UK561M200N300AP4APR,1194,1194,1194,1194,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,42,UK561M200N300AP4APR,1170,1170,1170,1170,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000300,43,UK561M200N300AP4APR,1200,1200,1200,1200,0
2026-08-23T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,1,UK561M200N300AP4APR,1237,1237,1237,1209,28
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,2,UK561M200N300AP4APR,1240,1240,1240,1230,10
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,3,UK561M200N300AP4APR,1180,1180,1180,1153,27
2026-08-23T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,4,UK561M200N300AP4APR,1210,1210,1210,1188,22
2026-08-22T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,5,UK561M200N300AP4APR,1192,1192,1192,1184,8
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,6,UK561M200N300AP4APR,1197,1197,1197,1192,5
2026-08-23T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,7,UK561M200N300AP4APR,1184,1184,1184,1171,13
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,8,UK561M200N300AP4APR,1179,1179,1179,1173,6
2026-08-24T00:00:00,A,3164 制造六处老化选别,6FX02,SF313-2608000300,9,UK561M200N300AP4APR,1215,1215,1215,1213,2
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000300,10,UK561M200N300AP4APR,1238,1238,1238,1227,11
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,11,UK561M200N300AP4APR,1225,1225,1225,1221,4
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0015,SF313-2608000300,12,UK561M200N300AP4APR,1229,1229,1229,1209,20
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,13,UK561M200N300AP4APR,1220,1220,1220,1213,7
2026-08-27T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,14,UK561M200N300AP4APR,1212,1212,1212,1201,11
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,15,UK561M200N300AP4APR,1240,1240,1240,1236,4
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,16,UK561M200N300AP4APR,1223,1223,1223,1219,4
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0009,SF313-2608000300,17,UK561M200N300AP4APR,1225,1225,1225,1217,8
2026-08-23T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,18,UK561M200N300AP4APR,1220,1220,1220,1213,7
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,19,UK561M200N300AP4APR,1228,1228,1228,1216,12
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,20,UK561M200N300AP4APR,1151,1151,1151,1128,23
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0015,SF313-2608000300,21,UK561M200N300AP4APR,1440,1440,1440,1393,47
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0015,SF313-2608000300,22,UK561M200N300AP4APR,1231,1231,1231,1223,8
2026-08-23T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,23,UK561M200N300AP4APR,1194,1194,1194,1193,1
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000300,24,UK561M200N300AP4APR,1194,1194,1194,1183,11
2026-08-26T00:00:00,B,3164 制造六处老化选别,6D0015,SF313-2608000300,25,UK561M200N300AP4APR,1218,1218,1218,1218,0
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0009,SF313-2608000300,26,UK561M200N300AP4APR,1212,1212,1212,1196,16
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0015,SF313-2608000300,27,UK561M200N300AP4APR,1199,1199,1199,1197,2
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,28,UK561M200N300AP4APR,1176,1176,1176,1172,4
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,29,UK561M200N300AP4APR,1201,1201,1201,1181,20
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000300,30,UK561M200N300AP4APR,1187,1187,1187,1177,10
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,31,UK561M200N300AP4APR,1207,1207,1207,1204,3
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000300,32,UK561M200N300AP4APR,1193,1193,1193,1166,27
2026-08-24T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,33,UK561M200N300AP4APR,1199,1199,1199,1191,8
2026-08-24T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,34,UK561M200N300AP4APR,1184,1184,1184,1181,3
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,35,UK561M200N300AP4APR,1219,1219,1219,1209,10
2026-08-26T00:00:00,B,3164 制造六处老化选别,6D0015,SF313-2608000300,36,UK561M200N300AP4APR,1198,1198,1198,1195,3
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,37,UK561M200N300AP4APR,1136,1136,1136,1107,29
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,38,UK561M200N300AP4APR,1160,1160,1160,1149,11
2026-08-25T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000300,40,UK561M200N300AP4APR,1175,1175,1175,1168,7
2026-08-26T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,41,UK561M200N300AP4APR,1194,1194,1194,1189,5
2026-08-25T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,42,UK561M200N300AP4APR,1170,1170,1170,1166,4
2026-08-26T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000300,43,UK561M200N300AP4APR,1200,1200,1200,1196,4
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,5,UK561M200N300AP4APR,1200,1114,1114,1114,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,6,UK561M200N300AP4APR,1200,1114,1114,1114,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,7,UK561M200N300AP4APR,1200,1192,1192,1192,0
2026-08-21T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,8,UK561M200N300AP4APR,1200,1183,1183,1183,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,9,UK561M200N300AP4APR,1200,1431,1431,1431,0
2026-08-21T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,10,UK561M200N300AP4APR,1200,1418,1418,1418,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,11,UK561M200N300AP4APR,1200,1430,1430,1430,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,12,UK561M200N300AP4APR,1200,1422,1422,1422,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,13,UK561M200N300AP4APR,1200,1402,1402,1402,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,14,UK561M200N300AP4APR,1200,1432,1432,1432,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,15,UK561M200N300AP4APR,1200,1390,1390,1390,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,16,UK561M200N300AP4APR,1200,1405,1405,1405,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,17,UK561M200N300AP4APR,1200,1171,1171,1171,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,18,UK561M200N300AP4APR,1200,1435,1435,1435,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,19,UK561M200N300AP4APR,1200,1184,1184,1184,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,20,UK561M200N300AP4APR,1200,1436,1436,1436,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,21,UK561M200N300AP4APR,1200,1196,1196,1196,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,22,UK561M200N300AP4APR,1200,1426,1426,1426,0
2026-08-22T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,23,UK561M200N300AP4APR,1200,1176,1176,1176,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,24,UK561M200N300AP4APR,1200,1402,1402,1402,0
2026-08-22T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,25,UK561M200N300AP4APR,1200,1400,1400,1400,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,26,UK561M200N300AP4APR,1200,1405,1405,1405,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,27,UK561M200N300AP4APR,1200,1416,1416,1416,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,28,UK561M200N300AP4APR,1200,1399,1399,1399,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,29,UK561M200N300AP4APR,1200,1418,1418,1418,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,30,UK561M200N300AP4APR,1200,1405,1405,1405,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,31,UK561M200N300AP4APR,1200,1161,1161,1161,0
2026-08-23T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,32,UK561M200N300AP4APR,1200,1417,1417,1417,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,33,UK561M200N300AP4APR,1200,1431,1431,1431,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,35,UK561M200N300AP4APR,1200,1160,1160,1160,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,36,UK561M200N300AP4APR,1200,1432,1432,1432,0
2026-08-23T00:00:00,A,3161 制造六处釘卷,6DD129,SF313-2608000301,37,UK561M200N300AP4APR,1200,1428,1428,1428,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD131,SF313-2608000301,38,UK561M200N300AP4APR,1200,1432,1432,1432,0
2026-08-24T00:00:00,B,3161 制造六处釘卷,6DD129,SF313-2608000301,40,UK561M200N300AP4APR,1200,1152,1152,1152,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,1,UK561M200N300AP4APR,1368,1368,1368,1368,0
2026-08-21T00:00:00,A,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,2,UK561M200N300AP4APR,1402,1402,1402,1402,0
2026-08-21T00:00:00,A,3162 制造六处自动组立套胶,6B0008,SF313-2608000301,3,UK561M200N300AP4APR,1433,1433,1433,1433,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,4,UK561M200N300AP4APR,1440,1440,1440,1440,0
2026-08-22T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,5,UK561M200N300AP4APR,1114,1114,1114,1114,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,6,UK561M200N300AP4APR,1114,1114,1114,1114,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,7,UK561M200N300AP4APR,1192,1192,1192,1192,0
2026-08-22T00:00:00,A,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,8,UK561M200N300AP4APR,1183,1183,1183,1183,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,9,UK561M200N300AP4APR,1431,1431,1431,1431,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,10,UK561M200N300AP4APR,1418,1418,1418,1418,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,11,UK561M200N300AP4APR,1430,1430,1430,1430,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,12,UK561M200N300AP4APR,1422,1422,1422,1422,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,13,UK561M200N300AP4APR,1402,1402,1402,1402,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,14,UK561M200N300AP4APR,1432,1432,1432,1432,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,15,UK561M200N300AP4APR,1390,1390,1390,1390,0
2026-08-23T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000301,16,UK561M200N300AP4APR,1405,1405,1405,1405,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,17,UK561M200N300AP4APR,1171,1171,1171,1171,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,18,UK561M200N300AP4APR,1435,1435,1435,1435,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,19,UK561M200N300AP4APR,1184,1184,1184,1184,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,20,UK561M200N300AP4APR,1436,1436,1436,1436,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,21,UK561M200N300AP4APR,1196,1196,1196,1196,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,22,UK561M200N300AP4APR,1426,1426,1426,1426,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,23,UK561M200N300AP4APR,1176,1176,1176,1176,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,24,UK561M200N300AP4APR,1402,1402,1402,1402,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,25,UK561M200N300AP4APR,1400,1400,1400,1400,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,26,UK561M200N300AP4APR,1405,1405,1405,1405,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,27,UK561M200N300AP4APR,1416,1416,1416,1416,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,28,UK561M200N300AP4APR,1399,1399,1399,1399,0
2026-08-23T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,29,UK561M200N300AP4APR,1418,1418,1418,1418,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000301,30,UK561M200N300AP4APR,1405,1405,1405,1405,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,31,UK561M200N300AP4APR,1161,1161,1161,1161,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,32,UK561M200N300AP4APR,1417,1417,1417,1417,0
2026-08-24T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000301,33,UK561M200N300AP4APR,1431,1431,1431,1431,0
2026-08-24T00:00:00,B,3162 制造六处自动组立套胶,6B0015,SF313-2608000301,35,UK561M200N300AP4APR,1160,1160,1160,1160,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0009,SF313-2608000301,36,UK561M200N300AP4APR,1432,1432,1432,1432,0
2026-08-25T00:00:00,B,3162 制造六处自动组立套胶,6B0015,SF313-2608000301,37,UK561M200N300AP4APR,1428,1428,1428,1428,0
