日期,班次,工序,电表名称,开始时间,结束时间,用电量（kWh）
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T12:00:00,2026-08-23T13:00:00,11.052
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T13:00:00,2026-08-23T14:00:00,10.45
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T14:00:00,2026-08-23T15:00:00,9.847
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T15:00:00,2026-08-23T16:00:00,10.048
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T16:00:00,2026-08-23T17:00:00,10.851
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T17:00:00,2026-08-23T18:00:00,10.55
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T18:00:00,2026-08-23T19:00:00,9.746
2026-08-23,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T19:00:00,2026-08-23T20:00:00,9.646
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T20:00:00,2026-08-23T21:00:00,25.013
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T21:00:00,2026-08-23T22:00:00,27.073
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T22:00:00,2026-08-23T23:00:00,29.427
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-23T23:00:00,2026-08-24T00:00:00,30.899
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T00:00:00,2026-08-24T01:00:00,32.37
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T01:00:00,2026-08-24T02:00:00,30.604
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T02:00:00,2026-08-24T03:00:00,28.839
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T03:00:00,2026-08-24T04:00:00,29.427
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T04:00:00,2026-08-24T05:00:00,31.781
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T05:00:00,2026-08-24T06:00:00,30.899
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T06:00:00,2026-08-24T07:00:00,28.544
2026-08-23,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T07:00:00,2026-08-24T08:00:00,28.25
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T20:00:00,2026-08-23T21:00:00,11.996
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T21:00:00,2026-08-23T22:00:00,12.984
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T22:00:00,2026-08-23T23:00:00,14.113
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-23T23:00:00,2026-08-24T00:00:00,14.819
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T00:00:00,2026-08-24T01:00:00,15.524
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T01:00:00,2026-08-24T02:00:00,14.677
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T02:00:00,2026-08-24T03:00:00,13.831
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T03:00:00,2026-08-24T04:00:00,14.113
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T04:00:00,2026-08-24T05:00:00,15.242
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T05:00:00,2026-08-24T06:00:00,14.818
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T06:00:00,2026-08-24T07:00:00,13.689
2026-08-23,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T07:00:00,2026-08-24T08:00:00,13.548
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T08:00:00,2026-08-24T09:00:00,33.816
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T09:00:00,2026-08-24T10:00:00,36.601
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T10:00:00,2026-08-24T11:00:00,39.784
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T11:00:00,2026-08-24T12:00:00,41.773
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T12:00:00,2026-08-24T13:00:00,43.762
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T13:00:00,2026-08-24T14:00:00,41.375
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T14:00:00,2026-08-24T15:00:00,38.988
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T15:00:00,2026-08-24T16:00:00,39.784
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T16:00:00,2026-08-24T17:00:00,42.967
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T17:00:00,2026-08-24T18:00:00,41.773
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T18:00:00,2026-08-24T19:00:00,38.59
2026-08-24,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T19:00:00,2026-08-24T20:00:00,38.193
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T08:00:00,2026-08-24T09:00:00,16.218
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T09:00:00,2026-08-24T10:00:00,17.553
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T10:00:00,2026-08-24T11:00:00,19.08
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T11:00:00,2026-08-24T12:00:00,20.034
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T12:00:00,2026-08-24T13:00:00,20.988
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T13:00:00,2026-08-24T14:00:00,19.843
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T14:00:00,2026-08-24T15:00:00,18.698
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T15:00:00,2026-08-24T16:00:00,19.08
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T16:00:00,2026-08-24T17:00:00,20.606
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T17:00:00,2026-08-24T18:00:00,20.034
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T18:00:00,2026-08-24T19:00:00,18.507
2026-08-24,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T19:00:00,2026-08-24T20:00:00,18.316
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T20:00:00,2026-08-24T21:00:00,43.494
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T21:00:00,2026-08-24T22:00:00,47.075
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T22:00:00,2026-08-24T23:00:00,51.169
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-24T23:00:00,2026-08-25T00:00:00,53.727
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T00:00:00,2026-08-25T01:00:00,56.286
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T01:00:00,2026-08-25T02:00:00,53.216
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T02:00:00,2026-08-25T03:00:00,50.146
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T03:00:00,2026-08-25T04:00:00,51.169
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T04:00:00,2026-08-25T05:00:00,55.262
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T05:00:00,2026-08-25T06:00:00,53.727
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T06:00:00,2026-08-25T07:00:00,49.634
2026-08-24,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T07:00:00,2026-08-25T08:00:00,49.122
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T20:00:00,2026-08-24T21:00:00,20.859
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T21:00:00,2026-08-24T22:00:00,22.577
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T22:00:00,2026-08-24T23:00:00,24.54
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-24T23:00:00,2026-08-25T00:00:00,25.767
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T00:00:00,2026-08-25T01:00:00,26.994
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T01:00:00,2026-08-25T02:00:00,25.521
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T02:00:00,2026-08-25T03:00:00,24.049
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T03:00:00,2026-08-25T04:00:00,24.54
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T04:00:00,2026-08-25T05:00:00,26.503
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T05:00:00,2026-08-25T06:00:00,25.767
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T06:00:00,2026-08-25T07:00:00,23.803
2026-08-24,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T07:00:00,2026-08-25T08:00:00,23.558
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T08:00:00,2026-08-25T09:00:00,51.61
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T09:00:00,2026-08-25T10:00:00,55.86
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T10:00:00,2026-08-25T11:00:00,60.717
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T11:00:00,2026-08-25T12:00:00,63.753
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T12:00:00,2026-08-25T13:00:00,66.789
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T13:00:00,2026-08-25T14:00:00,63.146
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T14:00:00,2026-08-25T15:00:00,59.503
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T15:00:00,2026-08-25T16:00:00,60.717
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T16:00:00,2026-08-25T17:00:00,65.575
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T17:00:00,2026-08-25T18:00:00,63.753
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T18:00:00,2026-08-25T19:00:00,58.896
2026-08-25,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T19:00:00,2026-08-25T20:00:00,58.289
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T08:00:00,2026-08-25T09:00:00,24.751
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T09:00:00,2026-08-25T10:00:00,26.79
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T10:00:00,2026-08-25T11:00:00,29.119
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T11:00:00,2026-08-25T12:00:00,30.575
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T12:00:00,2026-08-25T13:00:00,32.031
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T13:00:00,2026-08-25T14:00:00,30.284
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T14:00:00,2026-08-25T15:00:00,28.537
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T15:00:00,2026-08-25T16:00:00,29.119
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T16:00:00,2026-08-25T17:00:00,31.449
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T17:00:00,2026-08-25T18:00:00,30.575
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T18:00:00,2026-08-25T19:00:00,28.246
2026-08-25,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T19:00:00,2026-08-25T20:00:00,27.954
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T20:00:00,2026-08-25T21:00:00,44.18
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T21:00:00,2026-08-25T22:00:00,47.819
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T22:00:00,2026-08-25T23:00:00,51.977
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-25T23:00:00,2026-08-26T00:00:00,54.576
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T00:00:00,2026-08-26T01:00:00,57.175
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T01:00:00,2026-08-26T02:00:00,54.056
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T02:00:00,2026-08-26T03:00:00,50.937
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T03:00:00,2026-08-26T04:00:00,51.977
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T04:00:00,2026-08-26T05:00:00,56.135
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T05:00:00,2026-08-26T06:00:00,54.576
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T06:00:00,2026-08-26T07:00:00,50.418
2026-08-25,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T07:00:00,2026-08-26T08:00:00,49.898
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T20:00:00,2026-08-25T21:00:00,21.188
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T21:00:00,2026-08-25T22:00:00,22.933
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T22:00:00,2026-08-25T23:00:00,24.927
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-25T23:00:00,2026-08-26T00:00:00,26.174
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T00:00:00,2026-08-26T01:00:00,27.42
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T01:00:00,2026-08-26T02:00:00,25.925
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T02:00:00,2026-08-26T03:00:00,24.429
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T03:00:00,2026-08-26T04:00:00,24.927
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T04:00:00,2026-08-26T05:00:00,26.922
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T05:00:00,2026-08-26T06:00:00,26.174
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T06:00:00,2026-08-26T07:00:00,24.18
2026-08-25,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T07:00:00,2026-08-26T08:00:00,23.93
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T08:00:00,2026-08-26T09:00:00,38.924
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T09:00:00,2026-08-26T10:00:00,42.13
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T10:00:00,2026-08-26T11:00:00,45.793
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T11:00:00,2026-08-26T12:00:00,48.083
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T12:00:00,2026-08-26T13:00:00,50.372
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T13:00:00,2026-08-26T14:00:00,47.625
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T14:00:00,2026-08-26T15:00:00,44.877
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T15:00:00,2026-08-26T16:00:00,45.793
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T16:00:00,2026-08-26T17:00:00,49.456
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T17:00:00,2026-08-26T18:00:00,48.083
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T18:00:00,2026-08-26T19:00:00,44.419
2026-08-26,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T19:00:00,2026-08-26T20:00:00,43.961
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T08:00:00,2026-08-26T09:00:00,18.667
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T09:00:00,2026-08-26T10:00:00,20.205
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T10:00:00,2026-08-26T11:00:00,21.962
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T11:00:00,2026-08-26T12:00:00,23.06
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T12:00:00,2026-08-26T13:00:00,24.158
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T13:00:00,2026-08-26T14:00:00,22.84
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T14:00:00,2026-08-26T15:00:00,21.522
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T15:00:00,2026-08-26T16:00:00,21.961
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T16:00:00,2026-08-26T17:00:00,23.718
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T17:00:00,2026-08-26T18:00:00,23.06
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T18:00:00,2026-08-26T19:00:00,21.303
2026-08-26,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T19:00:00,2026-08-26T20:00:00,21.083
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T20:00:00,2026-08-26T21:00:00,61.058
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T21:00:00,2026-08-26T22:00:00,64.45
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T22:00:00,2026-08-26T23:00:00,67.842
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-26T23:00:00,2026-08-27T00:00:00,111.939
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T00:00:00,2026-08-27T01:00:00,118.723
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T01:00:00,2026-08-27T02:00:00,94.979
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T02:00:00,2026-08-27T03:00:00,67.842
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T03:00:00,2026-08-27T04:00:00,66.485
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T04:00:00,2026-08-27T05:00:00,61.058
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T05:00:00,2026-08-27T06:00:00,59.022
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T06:00:00,2026-08-27T07:00:00,55.63
2026-08-26,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T07:00:00,2026-08-27T08:00:00,54.273
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T20:00:00,2026-08-26T21:00:00,29.283
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T21:00:00,2026-08-26T22:00:00,30.909
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T22:00:00,2026-08-26T23:00:00,32.536
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-26T23:00:00,2026-08-27T00:00:00,53.684
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T00:00:00,2026-08-27T01:00:00,56.938
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T01:00:00,2026-08-27T02:00:00,45.55
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T02:00:00,2026-08-27T03:00:00,32.536
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T03:00:00,2026-08-27T04:00:00,31.885
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T04:00:00,2026-08-27T05:00:00,29.282
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T05:00:00,2026-08-27T06:00:00,28.306
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T06:00:00,2026-08-27T07:00:00,26.68
2026-08-26,B,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T07:00:00,2026-08-27T08:00:00,26.029
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T08:00:00,2026-08-27T09:00:00,46.014
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T09:00:00,2026-08-27T10:00:00,49.803
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T10:00:00,2026-08-27T11:00:00,54.134
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T11:00:00,2026-08-27T12:00:00,56.84
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T12:00:00,2026-08-27T13:00:00,59.547
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T13:00:00,2026-08-27T14:00:00,56.299
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T14:00:00,2026-08-27T15:00:00,53.051
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T15:00:00,2026-08-27T16:00:00,54.134
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T16:00:00,2026-08-27T17:00:00,58.465
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T17:00:00,2026-08-27T18:00:00,56.84
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T18:00:00,2026-08-27T19:00:00,52.51
2026-08-27,A,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T19:00:00,2026-08-27T20:00:00,51.968
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T08:00:00,2026-08-27T09:00:00,22.067
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T09:00:00,2026-08-27T10:00:00,23.885
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T10:00:00,2026-08-27T11:00:00,25.962
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T11:00:00,2026-08-27T12:00:00,27.26
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T12:00:00,2026-08-27T13:00:00,28.558
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T13:00:00,2026-08-27T14:00:00,27
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T14:00:00,2026-08-27T15:00:00,25.442
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T15:00:00,2026-08-27T16:00:00,25.962
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T16:00:00,2026-08-27T17:00:00,28.039
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T17:00:00,2026-08-27T18:00:00,27.26
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T18:00:00,2026-08-27T19:00:00,25.183
2026-08-27,A,3164 制造六处老化选别,电表_E3（3#表）_67,2026-08-27T19:00:00,2026-08-27T20:00:00,24.923
2026-08-27,B,3164 制造六处老化选别,电表_E3（2#表）_66,2026-08-27T20:00:00,2026-08-27T21:00:00,46.491
