停线单号,日期,班次,工序,产线设备,工单号,卡号,料号,停线开始时间,停线结束时间,停线时长（分钟）,停线原因,处理措施
SL20260827-021,2026-08-27T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000303,9,UK561M200N300AP4APR,2026-08-27T10:45:00,2026-08-27T11:30:00,45,电性能抽检复核,完成电性能复核并确认后恢复生产
SL20260827-023,2026-08-27T00:00:00,B,3162 制造六处自动组立套胶,6B0032,SF313-2608000303,37,UK561M200N300AP4APR,2026-08-27T21:40:00,2026-08-27T23:10:00,90,封口尺寸复核,复核尺寸并调整参数后恢复生产
SL20260827-024,2026-08-27T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000304,4,UK561M200N300AP4APR,2026-08-27T23:20:00,2026-08-27T23:40:00,20,测试设备报警,检查报警并完成设备复位
SL20260827-022,2026-08-27T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000304,20,UK561M200N300AP4APR,2026-08-27T23:50:00,2026-08-28T00:08:00,18,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260828-026,2026-08-28T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000302,42,UK561M200N300AP4APR,2026-08-28T10:35:00,2026-08-28T11:20:00,45,老化架切换,完成老化架切换并确认接线
SL20260828-025,2026-08-28T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000304,27,UK561M200N300AP4APR,2026-08-28T13:50:00,2026-08-28T14:25:00,35,设备传感器异常,调整传感器位置，空转测试正常后恢复生产
SL20260828-028,2026-08-28T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000302,27,UK561M200N300AP4APR,2026-08-28T23:50:00,2026-08-29T00:20:00,30,测试治具接触不良,清洁测试触点，复测正常后恢复生产
SL20260828-027,2026-08-28T00:00:00,B,3161 制造六处釘卷,6DD119,SF313-2608000304,32,UK561M200N300AP4APR,2026-08-29T03:00:00,2026-08-29T03:15:00,15,来料补充等待,补齐来料并核对批次后恢复生产
SL20260829-029,2026-08-29T00:00:00,A,3161 制造六处釘卷,6DD092,SF313-2608000384,7,UK561M200N300AP4APR,2026-08-29T15:20:00,2026-08-29T16:20:00,60,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260829-030,2026-08-29T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000304,18,UK561M200N300AP4APR,2026-08-30T00:45:00,2026-08-30T01:03:00,18,电性能抽检复核,完成电性能复核并确认后恢复生产
SL20260830-031,2026-08-30T00:00:00,A,3162 制造六处自动组立套胶,6B0007,SF313-2608000304,24,UK561M200N300AP4APR,2026-08-30T09:35:00,2026-08-30T10:35:00,60,套管供料异常,清理送料机构，调整套管定位后恢复生产
SL20260830-032,2026-08-30T00:00:00,B,3161 制造六处釘卷,6DD092,SF313-2608000384,10,UK561M200N300AP4APR,2026-08-30T22:40:00,2026-08-30T22:58:00,18,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260830-033,2026-08-30T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000304,30,UK561M200N300AP4APR,2026-08-31T01:20:00,2026-08-31T01:45:00,25,更换组立治具,完成治具更换及首件确认
SL20260831-035,2026-08-31T00:00:00,A,3162 制造六处自动组立套胶,6B0015,SF313-2608000383,8,UK561M200N300AP4APR,2026-08-31T10:05:00,2026-08-31T10:20:00,15,套管供料异常,清理送料机构，调整套管定位后恢复生产
SL20260831-036,2026-08-31T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000384,3,UK561M200N300AP4APR,2026-08-31T10:50:00,2026-08-31T11:30:00,40,分选送料卡滞,清理分选通道并试运行确认
SL20260831-034,2026-08-31T00:00:00,A,3161 制造六处釘卷,6DD092,SF313-2608000384,14,UK561M200N300AP4APR,2026-08-31T10:55:00,2026-08-31T12:25:00,90,品质抽检复核,完成抽检复核及参数调整后恢复生产
SL20260831-037,2026-08-31T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000382,13,UK561M200N300AP4APR,2026-08-31T23:50:00,2026-09-01T00:08:00,18,卷绕张力偏移,重新校准张力，试卷确认后恢复生产
SL20260831-038,2026-08-31T00:00:00,B,3162 制造六处自动组立套胶,6B0015,SF313-2608000384,7,UK561M200N300AP4APR,2026-09-01T04:00:00,2026-09-01T04:20:00,20,更换组立治具,完成治具更换及首件确认
SL20260901-039,2026-09-01T00:00:00,A,3161 制造六处釘卷,6DD117,SF313-2608000382,37,UK561M200N300AP4APR,2026-09-01T15:10:00,2026-09-01T16:10:00,60,设备传感器异常,调整传感器位置，空转测试正常后恢复生产
SL20260901-040,2026-09-01T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000384,13,UK561M200N300AP4APR,2026-09-01T15:30:00,2026-09-01T15:55:00,25,待上工序来料,接收上工序来料并核对卡号后恢复生产
SL20260901-042,2026-09-01T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000384,7,UK561M200N300AP4APR,2026-09-02T00:15:00,2026-09-02T01:15:00,60,测试治具接触不良,清洁测试触点，复测正常后恢复生产
SL20260901-041,2026-09-01T00:00:00,B,3161 制造六处釘卷,6DD117,SF313-2608000382,23,UK561M200N300AP4APR,2026-09-02T00:40:00,2026-09-02T01:20:00,40,设备传感器异常,调整传感器位置，空转测试正常后恢复生产
SL20260902-043,2026-09-02T00:00:00,A,3161 制造六处釘卷,6DD121,SF313-2608000383,42,UK561M200N300AP4APR,2026-09-02T15:20:00,2026-09-02T15:45:00,25,导针送料卡料,清理送料通道，调整导向后恢复生产
SL20260902-044,2026-09-02T00:00:00,B,3161 制造六处釘卷,6DD116,SF313-2608000383,41,UK561M200N300AP4APR,2026-09-03T04:05:00,2026-09-03T05:20:00,75,导针送料卡料,清理送料通道，调整导向后恢复生产
SL20260903-045,2026-09-03T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000383,42,UK561M200N300AP4APR,2026-09-03T13:05:00,2026-09-03T13:30:00,25,更换组立治具,完成治具更换及首件确认
SL20260903-046,2026-09-03T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000382,30,UK561M200N300AP4APR,2026-09-03T16:10:00,2026-09-03T16:40:00,30,测试设备报警,检查报警并完成设备复位
SL20260903-048,2026-09-03T00:00:00,B,3164 制造六处老化选别,6D0009,SF313-2608000383,30,UK561M200N300AP4APR,2026-09-03T20:55:00,2026-09-03T21:15:00,20,电性能抽检复核,完成电性能复核并确认后恢复生产
SL20260903-047,2026-09-03T00:00:00,B,3162 制造六处自动组立套胶,6B0007,SF313-2608000382,36,UK561M200N300AP4APR,2026-09-03T21:45:00,2026-09-03T23:15:00,90,待上工序来料,接收上工序来料并核对卡号后恢复生产
SL20260904-049,2026-09-04T00:00:00,A,3164 制造六处老化选别,6D0009,SF313-2608000383,38,UK561M200N300AP4APR,2026-09-04T13:20:00,2026-09-04T13:50:00,30,分选送料卡滞,清理分选通道并试运行确认
SL20260904-050,2026-09-04T00:00:00,B,3162 制造六处自动组立套胶,6B0012,SF313-2608000382,35,UK561M200N300AP4APR,2026-09-05T02:05:00,2026-09-05T02:17:00,12,套管供料异常,清理送料机构，调整套管定位后恢复生产
SL20260905-051,2026-09-05T00:00:00,A,3162 制造六处自动组立套胶,6B0012,SF313-2608000303,42,UK561M200N300AP4APR,2026-09-05T10:35:00,2026-09-05T11:00:00,25,更换组立治具,完成治具更换及首件确认
SL20260905-052,2026-09-05T00:00:00,A,3164 制造六处老化选别,6D0005,SF313-2608000302,41,UK561M200N300AP4APR,2026-09-05T13:50:00,2026-09-05T14:02:00,12,分选送料卡滞,清理分选通道并试运行确认
SL20260906-053,2026-09-06T00:00:00,B,3164 制造六处老化选别,6D0009,SF313-2608000382,39,UK561M200N300AP4APR,2026-09-07T03:20:00,2026-09-07T03:40:00,20,老化架切换,完成老化架切换并确认接线
SL20260907-054,2026-09-07T00:00:00,B,3164 制造六处老化选别,6D0005,SF313-2608000303,42,UK561M200N300AP4APR,2026-09-08T00:30:00,2026-09-08T01:45:00,75,电性能抽检复核,完成电性能复核并确认后恢复生产
